id,reviewer,severity,category,file,line,confidence,why,check
R3-F-04,R3,HIGH,logic-suspicious,tools/xs-language-server/src/server.rs,699-764,medium,"Engine-API references and merged-view walk disagree: shadowed engine API uses merged-view (current file + includes only) instead of full workspace","Open mod where A defines kbGetProtoUnit and B calls it without includes"
R3-F-05,R3,HIGH,performance,tools/xs-language-server/src/server.rs,656-678,medium,"workspace_symbol parses every visible file from disk and rebuilds symbol tables; ignores in-memory symbol_tables and documents cache","Use cache::load_or_parse_symbols and documents.get"
R3-F-09,R3,HIGH,comment-mismatch,tools/xs-language-server/src/server.rs,1001-1014,medium,"User sees 'internal error: failed to install XS language' on any parse failure (i.e. every typo)","Check whether parse None means 'parse failure' or 'LSP init failure'"
R4-F-01,R4,HIGH,comment-mismatch,tools/xs-language-server/src/doxygen.rs,268-283,medium,"Comment says 'drop the static qualifier' but return_type keeps all tokens before the name","grep extracted doxygen for static/inline/virtual/explicit memproto rows"
R4-F-02,R4,HIGH,archive,tools/xs-language-server/src/doxygen.rs,41-49,medium,"sevenz_rust decompress_file has no size limit / ratio cap / path-traversal defense","Verify what sevenz_rust 0.6 sanitises"
R4-F-03,R4,HIGH,cache,tools/xs-language-server/src/cache.rs,306-330 + engine_api.rs,130-140,medium,"Cache-deletion branch cannot distinguish 'corrupt cache' from 'failed write after good write'; nukes a good cache","Force read-only cache dir and trace"
R5-F-01,R5,HIGH,test,tools/xs-language-server/src/bin/lsp_roundtrip_test.rs,401-411,high,"completion_count counts aiEcho substrings in entire stdout (diagnostics alone contribute two); PASS message lies","Parse completion_resp directly and count entries in result array only"
R5-F-02,R5,HIGH,test,tools/xs-language-server/src/bin/lsp_roundtrip_test.rs,1659-1676,high,"elapsed measures full end-to-end including 50ms sleep and child.wait; does not measure references response time","Trace run; verify 600ms artificial delay still yields PASS"
R5-F-03,R5,HIGH,test,tools/xs-language-server/src/bin/lsp_roundtrip_test.rs,362-380,high,"has_clean_diag and has_bad_diag do loose substring matching; never inspect diagnostic payloads","Mutate server to publish non-empty diagnostics for /tmp/test.xs and confirm test still PASSes"
R6-F-01,R6,HIGH,logic-suspicious,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/highlight/XsHighlightingLexer.kt,13,medium,"text.lowercase() before keyword lookup silently re-colours Void/Main/True as keywords","Confirm XS keyword case sensitivity in docs/xs-language-syntax.md"
R6-F-02,R6,HIGH,logic-suspicious,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/highlight/XsSyntaxHighlighter.kt,20,high,"WHITE_SPACE -> XS_DEFAULT -> IDENTIFIER colouring; whitespace should be EMPTY_KEYS","Open .xs file in default colour scheme and inspect"
R7-F-01,R7,HIGH,comment-mismatch,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsBinaryResolver.kt,87-89,high,"setExecutable(true false) grants execute to ALL (owner group other); comment says 'for the owner'","Match the comment with (true true) or rewrite the comment"
R7-F-08,R7,HIGH,lsp,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspSupportProvider.kt,19-28,medium,"Each fileOpened constructs a new XsLspServerDescriptor; if dedup key is instance identity every opened file leaks a process","ps -ef | grep xs-language-server with two .xs files open"
R7-F-12,R7,HIGH,lsp,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerManager.kt,89-106 158-164,medium,"At startup no LSP server is running yet; notifyWorkspaceFoldersChanged falls into restartServer() no-op","Short-circuit when getServersForProvider returns empty"
R7-F-15,R7,HIGH,comment-mismatch,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerDescriptor.kt,91-95,high,"resolveLspLogFile KDoc says 'One file per project' but basePath==null falls through to shared java.io.tmpdir/xs-lsp.log","Fix doc to match behaviour or use per-project subdir"
R7-F-16,R7,HIGH,platform-contract,tools/intellij-xs-plugin/src/main/resources/META-INF/plugin.xml,12-17,high,"<depends>com.intellij.modules.ultimate</depends> blocks installation on Community Edition; <depends optional='true'>com.intellij.modules.rider</depends> does nothing","Try install on Community; remove both deps"
R1-F-05,R1,MEDIUM,logic-suspicious,tools/xs-language-server/src/word.rs,30 39 47,high,"is_ascii_alphanumeric() rejects Unicode IDs the grammar accepts","Add test int αx = 0;"
R1-F-06,R1,MEDIUM,logic-suspicious,tools/xs-language-server/src/parser.rs and symbols.rs,parser.rs 43-50 symbols.rs 645-652,high,"node_range returns byte columns as if UTF-16; mixed with byte-based text extraction","Walk a rule with é in source"
R1-F-07,R1,MEDIUM,logic-suspicious,tools/xs-language-server/src/parser.rs,21-41,medium,"Only walks direct children; nested include_directive under preproc_if is invisible","Test with #if 1 include a.xs #endif"
R1-F-08,R1,MEDIUM,logic-suspicious,tools/xs-language-server/src/symbols.rs,230-244,high,"trim_matches strip every leading/trailing quote; second trim_matches for single quote is dead","Decide intent; replace with explicit strip_prefix/strip_suffix"
R1-F-09,R1,MEDIUM,comment-mismatch,tools/xs-language-server/src/symbols.rs,319-325 161,medium,"Comment says XS requires init but grammar allows uninit decls via _declaration_declarator","Confirm XS policy; extend extract_declaration if not"
R1-F-10,R1,MEDIUM,type-safety,tools/xs-language-server/src/symbols.rs,247 252 266,high,"_source naming convention says unused but is used by node_text","Rename _source to source"
R1-F-11,R1,MEDIUM,error-handling,tools/xs-language-server/src/parser.rs,33,medium,"&source[path_node.byte_range()] panics on out-of-bounds if buffer is different from parsed tree","Document invariant; use text.get if ever relevant"
R1-F-12,R1,MEDIUM,logic-suspicious,tools/xs-language-server/src/symbols.rs,159 247 270 311 519-538,medium,"extract_modifiers relies on hidden grammar rules being inlined into declarations; no test asserts the invariant","Add direct unit test for extract_modifiers"
R2-F-05,R2,MEDIUM,logic-suspicious,tools/xs-language-server/src/semantic.rs,545-549,medium,"Self-recursion strict-less-than line check fails for single-line recursive defs","Add fixture void f() { f(); }"
R2-F-06,R2,MEDIUM,pattern,tools/xs-language-server/src/typecheck.rs,255-279 364-374 105-107,high,"params() clones per call; callee_source unused; arg_types_compatible has no caller","git blame arg_types_compatible and trim"
R2-F-07,R2,MEDIUM,logic-suspicious,tools/xs-language-server/src/semantic.rs,882-887,medium,"Cross-file resolution counts only SymbolKind::Function not Rule","Confirm engine cross-file rule invocation policy"
R2-F-08,R2,MEDIUM,bug,tools/xs-language-server/src/typecheck.rs,311-320,medium,"extract_callee_name returns just method name for obj.method(...); global engine API lookup always fails; silent Unresolved","Decide method-call type-check policy"
R2-F-09,R2,MEDIUM,comment-mismatch,tools/xs-language-server/src/semantic.rs,350-358,high,"check_extern_collisions doc says 'Only files in merged' but code uses project-wide paths_in_scope","Update doc to match code"
R2-F-10,R2,MEDIUM,logic-suspicious,tools/xs-language-server/src/semantic.rs,432-447,medium,"Extern-collision filter emits only for current file + include closure; sibling collisions silently dropped","Add A B unrelated fixture"
R2-F-11,R2,MEDIUM,pattern,tools/xs-language-server/src/semantic.rs,150-156,medium,"BUILTIN_CALLEES lists xsVectorSet/xsVectorGetX/Y/Z which should be in engine API; patching over absence","Verify engine API is missing them; then either extract or document"
R2-F-12,R2,MEDIUM,logic-suspicious,tools/xs-language-server/src/semantic.rs,546-549,low,"Forward-declaration guard brittle to shadowed locals / forward-but-redefined","Confirm engine shadowing policy"
R2-F-13,R2,MEDIUM,edge-case,tools/xs-language-server/src/semantic.rs,532-538,medium,"own_function_ranges rebuilt per call; cacheable per file","Cache per file; otherwise live with"
R2-F-14,R2,MEDIUM,pattern,tools/xs-language-server/src/semantic.rs,57-59 121-123,low,"entry().or_insert_with + name.clone() + &name redundant","Profile; reconsider cloning"
R3-F-06,R3,MEDIUM,lsp-protocol,tools/xs-language-server/src/server.rs,472-484,medium,"Republished diagnostics use hard-coded version=0; clients may discard","Track document version alongside text"
R3-F-07,R3,MEDIUM,comment-mismatch,tools/xs-language-server/src/merged_view.rs,210-223 1-30,medium,"Orphan doc paragraph describes MergeError — type no longer exists","Move paragraph to module doc or onto MergedView::build"
R3-F-08,R3,MEDIUM,comment-mismatch,tools/xs-language-server/src/merged_view.rs,169-177 382-404,medium,"Field name 'missing' but stores both Missing and Unreadable; accessor doc admits it","Rename to unresolved or split into two vecs"
R3-F-10,R3,MEDIUM,bug,tools/xs-language-server/src/server.rs,406-414,medium,"did_close clears doc/table/merged-view but not last_active_uri; next workspace/symbol dereferences stale URI","Clear last_active_uri too"
R3-F-11,R3,MEDIUM,pattern,tools/xs-language-server/src/server.rs,348-369,low,"Two separate workspace.lock().await acquisitions in did_open","Merge into one scope"
R3-F-12,R3,MEDIUM,pattern,tools/xs-language-server/src/definition_check.rs,186-223,low,"parenthesized_expression and expression arms are byte-identical; dead branching","Trace and merge"
R3-F-13,R3,MEDIUM,edge-case,tools/xs-language-server/src/server.rs,711-758,medium,"Per-file/total budgets measured AFTER async I/O; post-hoc warnings not stop signals","Decide budgets purpose"
R3-F-14,R3,MEDIUM,bug,tools/xs-language-server/src/server.rs,383-404,low,"did_change takes only the first of multiple content changes; legal per LSP","Take the last instead"
R4-F-04,R4,MEDIUM,edge-case,tools/xs-language-server/src/cache.rs,82-88,high,"duration_since(UNIX_EPOCH) → unwrap_or_default silently turns pre-1970 mtime into 0-<hash> collision","Force pre-1970 mtime via touch -t 196801010000"
R4-F-05,R4,MEDIUM,error-handling,tools/xs-language-server/src/workspace.rs,411-424,medium,"is_readable_xs_file probes only first 64 KiB","Verify largest .xs file head suffices"
R4-F-06,R4,MEDIUM,logic-suspicious,tools/xs-language-server/src/workspace.rs,326-333,medium,"n == 'game' exact match is case-sensitive; case-insensitive FSes don't skip nested Game/","Verify on case-insensitive FS"
R4-F-07,R4,MEDIUM,type-safety,tools/xs-language-server/src/doxygen.rs,213-223,medium,"text[..open] panics if a multi-byte char precedes (","Construct synthetic HTML with non-ASCII in summary cell"
R4-F-08,R4,MEDIUM,pattern,tools/xs-language-server/src/doxygen.rs,226-245,medium,"Comma-splitting truncates vector<int string> and function pointer types","grep v2/*.json for type ending in <type without matching"
R4-F-09,R4,MEDIUM,pattern,tools/xs-language-server/src/doxygen.rs,290-303,high,"Selector::parse('td').expect() runs INSIDE the per-row loop; should be LazyLock","Profile cold start"
R4-F-10,R4,MEDIUM,error-handling,tools/xs-language-server/src/cache.rs,33-41,medium,"state_cache_dir panics when both state_dir and home_dir return None","Add a fallback path"
R4-F-11,R4,MEDIUM,error-handling,tools/xs-language-server/src/cache.rs,267-279,medium,"file.sync_data().ok() silently discards fsync errors; .tmp leaked if write_all fails","Use lower-level write semantics; cleanup on error"
R4-F-12,R4,MEDIUM,bug,tools/xs-language-server/src/workspace.rs,77-84 158-179,high,"WorkspaceError::MissingGameDirectory defined but never constructed","grep for MissingGameDirectory to confirm"
R5-F-04,R5,MEDIUM,test,tools/xs-language-server/src/bin/lsp_roundtrip_test.rs,268-285,medium,"Asymmetric capture: types_diag_raw takes FIRST bad_clean_diag_raw takes LAST","Document policy per-uri"
R5-F-05,R5,MEDIUM,comment-mismatch,tools/xs-language-server/tests/game_folder_parse.rs,366-384 651-658,high,"Comment says 'soft threshold with 10% headroom' but live test asserts strict == 0","Tighten doc-comment to match"
R5-F-06,R5,MEDIUM,platform-safety,tools/xs-language-server/src/bin/lsp_roundtrip_test.rs,184-189,medium,"Stdio::from(File::create('/tmp/...')) panics on Windows; concurrent runs collide","Use std::env::temp_dir with pid suffix"
R5-F-07,R5,MEDIUM,cli-ux,tools/xs-language-server/src/main.rs,14-57,medium,"No --help/--version; users invoking --help see nothing","Consider clap-based CLI"
R5-F-08,R5,MEDIUM,concurrency,tools/xs-language-server/src/bin/lsp_roundtrip_test.rs,1466-1559,medium,"Cleanup runs before timeout status check; can report PASS on no-op after tree deletion","Move cleanup after the is_none branch"
R5-F-09,R5,MEDIUM,test,tools/xs-language-server/tests/game_folder_parse.rs,159-204,medium,"is_recoverable_forward_decl 'mirrors' production helper; silently diverges","Compare against symbols.rs character-for-character"
R5-F-10,R5,MEDIUM,concurrency,tools/xs-language-server/src/bin/lsp_roundtrip_test.rs,1481-1488,medium,"Comment says 'Don't take stdout' but next line does call take()","Make intent explicit"
R6-F-03,R6,MEDIUM,comment-mismatch,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/highlight/XsTextAttributesKeys.kt,13,high,"XS_DEFAULT key fallback is IDENTIFIER; self-contradictory name","Decide neutral default vs delete"
R6-F-04,R6,MEDIUM,platform-contract,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/psi/XsParserDefinition.kt,35 46-51,medium,"getStringLiteralElements includes standalone quote tokens STRING_QUOTE CHAR_QUOTE; IDE may attach string-level refs to a ' quote","Run Find Usages on string content"
R6-F-05,R6,MEDIUM,platform-contract,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/editor/XsCommenter.kt,5-15,low,"getCommentedBlockCommentPrefix/Suffix deprecated since 2022.1; should implement CommenterWithEditableComments","Build with deprecation reporting"
R6-F-06,R6,MEDIUM,platform-contract,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/editor/XsBraceMatcher.kt,13,medium,"isPairedBracesAllowedBeforeType returning true unconditionally overrides IntelliJ skip-over heuristic","Type ()[ and verify behaviour"
R6-F-07,R6,MEDIUM,platform-contract,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/editor/XsQuoteHandler.kt,16,medium,"hasNonClosedLiteral always false disables auto-close at EOL and unclosed-string inspection","Type an unclosed string in .xs file"
R6-F-08,R6,MEDIUM,edge-case,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/highlight/XsHighlightingLexer.kt,32,low,"NUMBER_REGEX accepts only decimal; no hex 0x binary 0b octal 0o or 5.","Cross-reference docs/xs-language-syntax.md"
R7-F-03,R7,MEDIUM,comment-mismatch,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsBinaryResolver.kt,16-19 99-110,medium,"Class-level doc lists 5 resolution steps; step 4 is actually 2 candidates (base + CWD)","Decide CWD fallback intent"
R7-F-04,R7,MEDIUM,persistence,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/settings/XsSettings.kt,32-44,medium,"getState returns live State with mutable modPaths; IDE serializes on background thread — race can persist empty list","Snapshot into immutable copy in getState or add lock"
R7-F-05,R7,MEDIUM,comment-mismatch,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerDescriptor.kt,60-75 91-95,medium,"KDoc blames 'platform default process handler' for stderr merge but createCommandLine already sets withRedirectErrorStream(false)","Fix the comment"
R7-F-06,R7,MEDIUM,error-handling,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerDescriptor.kt,60-75,medium,"Process is leaked if OSProcessHandler constructor throws; no process.destroy() on error path","Add try/catch with process.destroy()"
R7-F-07,R7,MEDIUM,comment-mismatch,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerDescriptor.kt,77-85,high,"KDoc says 'reads game folder every time server is started' but code reads constructor parameter first","Trace through XsLspServerManager.updateSettings"
R7-F-09,R7,MEDIUM,concurrency,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerDescriptor.kt,103-107,medium,"currentModWorkspaceFolders called from super constructor; refreshAndFindFileByPath may require read action","Wrap in ReadAction.compute or move to lazy"
R7-F-10,R7,MEDIUM,concurrency,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerManager.kt,43-50,medium,"internal var test-seam fields have no @Volatile/EDT assertion; worker-thread writes race EDT reads","Mark @Volatile or guard with synchronized"
R7-F-11,R7,MEDIUM,concurrency,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerManager.kt,52-59 166-168,medium,"addModPathsListener registered in init but never removed in dispose; comment says platform handles it","Override dispose to remove listener"
R7-F-14,R7,MEDIUM,edge-case,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/settings/XsModAutoDetector.kt,27-41,medium,"Files.isDirectory follows symlinks; self-referential or cycle causes infinite recursion / StackOverflowError","Add Files.exists(NOFOLLOW_LINKS) guard and visited-set"
R7-F-17,R7,MEDIUM,platform-contract,tools/intellij-xs-plugin/src/main/resources/META-INF/plugin.xml,19-40,medium,"Two file-type registrations on .xs — native and TextMate; pick primary and document","Open .xs file and inspect actual highlighter driving colours"
R7-F-22,R7,MEDIUM,edge-case,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/startup/XsStartupActivity.kt,80-90,medium,"NotificationGroupManager.getNotificationGroup returns null during first IDE launch; user gets no feedback","Log warning on null OR use Notifications.Bus.notify directly"
R1-F-13,R1,LOW,pattern,tools/xs-language-server/tree-sitter-xs/grammar.js,127,medium,"preproc_arg defined but never referenced; dead","Confirm no body arg parsed; delete"
R1-F-14,R1,LOW,pattern,tools/xs-language-server/tree-sitter-xs/grammar.js,239-244 258-263 265-269,high,"Three syntactically identical rules differing only in underscore","Delete _function_declaration_declarator; reference _function_declarator directly"
R1-F-15,R1,LOW,grammar,tools/xs-language-server/tree-sitter-xs/grammar.js,233-237 213-217,medium,"prec.right(seq(...)) on non-recursive rules does nothing; vestigial copy-paste from C grammar","Drop the wrappers and re-run tree-sitter generate"
R1-F-16,R1,LOW,pattern,tools/xs-language-server/tree-sitter-xs/grammar.js,385-417,low,"Two near-identical 'expression statement' rules aliased to each other","Add test asserting the behaviour is intended"
R1-F-17,R1,LOW,style,tools/xs-language-server/src/symbols.rs,60-63 263,low,"extract_rule hard-codes Visibility::Public for rules but Visibility docstring only mentions functions/variables","Document or extend the enum"
R2-F-15,R2,LOW,style,tools/xs-language-server/src/semantic.rs,349-358,high,"check_extern_collisions is hoisted out of impl but body keeps 4-space indent as if still inside; refactor leftover","rustfmt"
R2-F-16,R2,LOW,style,tools/xs-language-server/src/semantic.rs,783-809,high,"forward_callable_merged has no doc comment unlike sibling forward_callable","Copy the contract"
R2-F-17,R2,LOW,pattern,tools/xs-language-server/src/typecheck.rs,65-72,medium,"walk uses named_children while semantic.rs::walk_calls uses children (all); divergent","Pick one and apply uniformly"
R2-F-18,R2,LOW,edge-case,tools/xs-language-server/src/typecheck.rs,397-407,low,"n.fract() == 0.0 fragile for values >= 2^53 due to IEEE 754 rounding","Confirm hex literals are not number_literal"
R2-F-19,R2,LOW,style,tools/xs-language-server/src/diagnostics.rs,125-139,low,"include-not-found diagnostic tagged with E0310 same as symbol resolution","Use a distinct internal code"
R2-F-20,R2,LOW,pattern,tools/xs-language-server/src/typecheck.rs,145-149,medium,"Extra args silently dropped from arg_types_compatible; only count warning","Confirm count is intended sole diagnostic for too-many-args"
R3-F-11b,R3,LOW,pattern,tools/xs-language-server/src/server.rs,348-369,low,"Two separate lock acquisitions of workspace in did_open","Merge into one scope"
R3-F-15,R3,LOW,comment-mismatch,tools/xs-language-server/src/merged_view.rs,25-52,low,"include_line doc says '0-indexed line of that include directive' but stores start of the directive range","Tighten wording"
R3-F-16,R3,LOW,bug,tools/xs-language-server/src/server.rs,191-217,low,"initialize logs workspace_folders as mods().len() after registration failures; diverges from spec count","Log warning when counts diverge"
R3-F-17,R3,LOW,pattern,tools/xs-language-server/src/server.rs,611-627,low,"document_symbol and publish_diagnostics disagree for the same parse-failure condition","Decide single source of truth"
R3-F-18,R3,LOW,pattern,tools/xs-language-server/src/completion.rs,79-98,low,"User symbol + engine API same name → two completion items both labelled","Dedupe by label with preferred ordering"
R3-F-19,R3,LOW,pattern,tools/xs-language-server/src/references.rs,99-107,high,"to_locations is pub but has no production caller (only tests)","Mark #[cfg(test)] or inline"
R3-F-20,R3,LOW,edge-case,tools/xs-language-server/src/merged_view.rs,581-589,low,"file_overrides uses '/' paths but abs_path may use OS separator on Windows; cache key mismatch","Verify cache key equality on Windows"
R3-F-21,R3,LOW,style,tools/xs-language-server/src/server.rs,488-501 506-549 555-560 681-686 845-852 911-917,medium,"Six copies of docs.lock().await; docs.get(uri).unwrap_or(' ').to_string","Extract helper"
R3-F-22,R3,LOW,style,tools/xs-language-server/src/definition_check.rs,239-246,high,"Three identical node_range helpers across definition_check.rs references.rs symbols.rs","Consolidate"
R4-F-13,R4,LOW,pattern,tools/xs-language-server/src/workspace.rs,44-52,medium,"visible_files clones whole override HashMap; dedup_by defensive only; workspace param unused","Avoid clone; pass &Path"
R4-F-14,R4,LOW,logic-suspicious,tools/xs-language-server/src/workspace.rs,218-232,medium,"resolve_file applies exists() only in vanilla branch; TOCTOU hole","Add exists() to override branch"
R4-F-15,R4,LOW,concurrency,tools/xs-language-server/src/workspace.rs,194-200,low,"lookup_mod max_by_key OsStr.len on Windows may mis-rank for non-BMP paths","Verify on Windows with non-ASCII paths"
R4-F-16,R4,LOW,pattern,tools/xs-language-server/src/cache.rs,116-128,medium,"parse_file_key opens file twice; could single-open with head-probe","Stream + chunked SHA256"
R4-F-17,R4,LOW,pattern,tools/xs-language-server/src/cache.rs,228-251,high,"invalidate_parse_cache reads and JSON-parses every file (O(N))","Add per-file index or skip .tmp"
R4-F-18,R4,LOW,pattern,tools/xs-language-server/src/engine_api.rs,111-116,medium,"to_engine_data clones 1804 syscalls + 193 aiplans just for serialisation","Write directly via serde_json::to_writer"
R4-F-19,R4,LOW,logic-suspicious,tools/xs-language-server/src/cache.rs,168-175,medium,"content_hash + mtime_millis check is redundant (cache filename IS the key)","Keep only relative_path disambiguation"
R4-F-20,R4,LOW,type-safety,tools/xs-language-server/src/engine_api.rs,72-87,low,"Number::to_string() preserves canonical form; round-trip may not reproduce original textual form [TRUNCATED]",Verify round-trip behaviour
R5-F-11,R5,LOW,test,tools/xs-language-server/src/bin/lsp_roundtrip_test.rs,1699-1700,low,"'uri':  is a one-char extension of 'uri':; non-overlap matches inflates total","Use single regex"
R5-F-12,R5,LOW,error-handling,tools/xs-language-server/src/bin/day1_probe.rs,36-39,low,"expect('parser returned None on valid input') misleading; reachable on 0-byte/multi-MB-binary","Refine message"
R5-F-13,R5,LOW,style,tools/xs-language-server/src/bin/day1_probe.rs,73-77,low,"--tree-at=N (single token) silently parses to None","Accept both forms"
R5-F-14,R5,LOW,error-handling,tools/xs-language-server/src/bin/dump_top_level.rs,12-14 and inspect_tree.rs 9-11,low,"No args.len() guard before args[1]; panics with index-out-of-bounds","Add usage message"
R5-F-15,R5,LOW,smell,tools/xs-language-server/src/bin/inspect_tree.rs,22,low,"Hard-coded target_lines = [17 124 423 526 527 773]; looks like human_assist.xs only","Add comment naming intended file"
R5-F-16,R5,LOW,build-config,tools/xs-language-server/Cargo.toml,1-25,low,"No [lints] table; clippy off for public-API crate; edition 2024 without rust-toolchain pin","Add [lints] and verify toolchain pin"
R6-F-09,R6,LOW,pattern,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/editor/XsSurroundingPairsProvider.kt,13,medium,"Class named ...Provider but doesn't implement SurroundingPairsProvider; future mis-registration risk","Rename to Config/Table"
R6-F-10,R6,LOW,pattern,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/highlight/XsColorSettingsPage.kt,14,low,"getIcon() returns null even though XsFileType has xs.svg","Return the file-type icon"
R6-F-11,R6,LOW,pattern,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/psi/psi/XsFile.kt,1,medium,"Package com.aomr.xs.psi.psi — nested PSI package artefact of IntelliJ wizard","Move to com.aomr.xs.psi"
R6-F-12,R6,LOW,pattern,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/XsFileTypeFactory.kt,1 7,low,"@Suppress('DEPRECATION') on a non-deprecated API [TRUNCATED]",Verify IntelliJ Platform targeted version
R7-F-18,R7,LOW,edge-case,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/textmate/XsTextMateBundleProvider.kt,12-29,low,"Files.createTempDirectory('xs-textmate-bundle') not registered with deleteOnExit; per-session leak","Add bundleDir.toFile().deleteOnExit()"
R7-F-19,R7,LOW,platform-contract,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/settings/XsConfigurable.kt,103-107 109-111,low,"disposeUIResources empties model but not ReorderTransferHandler.sourceIndex / JBList selection; benign today","Document lifetime or null-out the field"
R7-F-20,R7,LOW,edge-case,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/settings/XsConfigurable.kt,84-87,low,"isModified compares raw gamePathField.text to trimmed state.gamePath; paste with trailing space causes isModified==true after Apply","Trim on compare or in focus-lost listener"
R7-F-21,R7,LOW,lsp,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerManager.kt,154-156,low,"pathToWorkspaceFolder builds two File instances; trailing / makes name empty","Cache File; add fallback name"
R7-F-23,R7,LOW,platform-contract,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsLspServerManager.kt,52-59,low,"qualified : com.intellij.openapi.Disposable plus empty dispose() is boilerplate","Drop interface or register with Disposer"
